series_id,scenario_group,target_tau_days,replicate,tau_acf_days,n_beta_rows,mean_beta_all,median_beta_all,n_beta_de_window,mean_beta_de_window,median_beta_de_window,de_window_min,de_window_max
single_timescale_ar1_16_05,single_timescale_ar1,16.0,5,16.009687448099378,125,1.5143022700931665,1.4730642258610478,24,1.8903316888203754,1.8967289157912295,0.5,2.0
single_timescale_ar1_16_06,single_timescale_ar1,16.0,6,14.493272434640001,125,1.5171904000441847,1.4551663096992677,27,1.886082112041903,1.8997484153074886,0.5,2.0
single_timescale_ar1_16_07,single_timescale_ar1,16.0,7,15.412439975546876,125,1.510127676216666,1.4400313997223044,25,1.9028519124782506,1.9108358164830976,0.5,2.0
single_timescale_ar1_16_08,single_timescale_ar1,16.0,8,14.141916151410507,125,1.5113702560200992,1.4592233694109666,27,1.8500917212498724,1.8764566363345867,0.5,2.0
single_timescale_ar1_16_09,single_timescale_ar1,16.0,9,16.093124903569503,125,1.530583585576665,1.5142180119247908,24,1.8621214868075227,1.870681964228821,0.5,2.0
single_timescale_ar1_16_10,single_timescale_ar1,16.0,10,13.104076340289181,125,1.4634234424046273,1.4041633173776091,30,1.824876288777004,1.8527506427504132,0.5,2.0
single_timescale_ar1_16_11,single_timescale_ar1,16.0,11,17.046475730758374,125,1.5437495491451854,1.4911655204430883,23,1.8743492873201146,1.8807672820567969,0.5,2.0
single_timescale_ar1_16_12,single_timescale_ar1,16.0,12,23.794871238518766,125,1.4714859507336344,1.4086500026323812,16,1.8872503724884973,1.9157030391261693,0.5,2.0
single_timescale_ar1_16_13,single_timescale_ar1,16.0,13,14.406612645381317,125,1.5365685656537107,1.488114960736126,27,1.8383113138169533,1.8587559086307188,0.5,2.0
single_timescale_ar1_32_00,single_timescale_ar1,32.0,0,39.45196218038371,125,1.589808570919414,1.514676553583964,9,1.9662979724269027,1.970129156937283,0.5,2.0
single_timescale_ar1_32_01,single_timescale_ar1,32.0,1,36.888401790718426,125,1.5652076758886342,1.481350121660362,10,1.951802505230651,1.9564446993369295,0.5,2.0
single_timescale_ar1_32_02,single_timescale_ar1,32.0,2,38.06251475807004,125,1.569792613898741,1.5238743695283556,10,1.9397029597040167,1.9373737180376671,0.5,2.0
single_timescale_ar1_32_03,single_timescale_ar1,32.0,3,30.799632764623972,125,1.560568878749186,1.4796091982550426,12,1.9395578399818982,1.9591279545808584,0.5,2.0
single_timescale_ar1_32_04,single_timescale_ar1,32.0,4,62.511545990195636,125,1.5208863815641667,1.4836452726341722,5,1.7921116992946842,1.7996887866906466,0.5,2.0
single_timescale_ar1_32_05,single_timescale_ar1,32.0,5,22.361002525457327,125,1.5981887897625933,1.5972662135854356,17,1.9193351540534214,1.9327568851804444,0.5,2.0
single_timescale_ar1_32_06,single_timescale_ar1,32.0,6,25.33176022675693,125,1.607127757618067,1.5645462981523366,15,1.9195342469812806,1.9209804029289683,0.5,2.0
single_timescale_ar1_32_07,single_timescale_ar1,32.0,7,28.425597358198573,125,1.5554669986924685,1.5214171439039714,14,1.9369326898214496,1.931342120160086,0.5,2.0
single_timescale_ar1_32_08,single_timescale_ar1,32.0,8,26.475416570661803,125,1.5936880543418384,1.533579544943779,15,1.9840545015712816,1.9835224502504951,0.5,2.0
single_timescale_ar1_32_09,single_timescale_ar1,32.0,9,31.05398357935438,125,1.5388813606063578,1.5023413903806342,12,1.8944074516428875,1.8864535651597047,0.5,2.0
single_timescale_ar1_32_10,single_timescale_ar1,32.0,10,32.4441162836282,125,1.538889611253364,1.4669223762649242,12,1.8746695355584437,1.8882518195526465,0.5,2.0
single_timescale_ar1_32_11,single_timescale_ar1,32.0,11,33.481274195270146,125,1.5849712762052262,1.5395873061024932,12,1.9103488381350449,1.9204807824780734,0.5,2.0
single_timescale_ar1_32_12,single_timescale_ar1,32.0,12,29.0778574432048,125,1.5682213335236326,1.4992763467683192,13,1.9979330010156184,1.9644603112115584,0.5,2.0
single_timescale_ar1_32_13,single_timescale_ar1,32.0,13,29.971816136352277,125,1.5359648028981487,1.481034527251861,13,1.9263962669575234,1.9467886957166889,0.5,2.0
single_timescale_ar1_64_00,single_timescale_ar1,64.0,0,58.91877152284989,125,1.5657317517309863,1.5294725315579132,5,2.063031557910398,2.027825853596551,0.5,2.0
single_timescale_ar1_64_01,single_timescale_ar1,64.0,1,70.32536018711778,125,1.5664442259764424,1.5077776937665672,4,2.1820849956703996,2.2046608904314535,0.5,2.0
single_timescale_ar1_64_02,single_timescale_ar1,64.0,2,61.79893236617983,125,1.5756636605347378,1.5458137679508073,5,1.94881974705436,1.9243823010517749,0.5,2.0
single_timescale_ar1_64_03,single_timescale_ar1,64.0,3,55.64991769647298,125,1.565568676164765,1.5004558214469408,6,1.952998121900615,1.9508570593115988,0.5,2.0
single_timescale_ar1_64_04,single_timescale_ar1,64.0,4,46.346849771421525,125,1.5686937348023882,1.5259444397495932,8,2.0671534916421677,2.0731921849218433,0.5,2.0
single_timescale_ar1_64_05,single_timescale_ar1,64.0,5,53.859270974149545,125,1.5539242852932416,1.5361736614715984,6,1.9465921796414285,1.9173176469324118,0.5,2.0
single_timescale_ar1_64_06,single_timescale_ar1,64.0,6,58.168557221196494,125,1.594475378569795,1.5157188462689806,5,2.0613363009727275,2.0515627615175274,0.5,2.0
single_timescale_ar1_64_07,single_timescale_ar1,64.0,7,62.43407436567991,125,1.5557705696366637,1.4499706574524354,5,2.0654611838249095,2.050452346239616,0.5,2.0
single_timescale_ar1_64_08,single_timescale_ar1,64.0,8,71.29837599080388,125,1.5777047197501262,1.4784599625336718,4,2.021359775247719,2.0487282014403982,0.5,2.0
single_timescale_ar1_64_09,single_timescale_ar1,64.0,9,95.0662044473581,125,1.5609629227910466,1.4984956150837982,2,2.063226403268922,2.063226403268922,0.5,2.0
single_timescale_ar1_64_10,single_timescale_ar1,64.0,10,60.69275046112197,125,1.5633248210366737,1.4987554573771908,5,1.9393990811480417,1.943800500621345,0.5,2.0
single_timescale_ar1_64_11,single_timescale_ar1,64.0,11,85.61645311451815,125,1.5712183257306707,1.4955982243937886,2,1.9955339517690474,1.9955339517690474,0.5,2.0
single_timescale_ar1_64_12,single_timescale_ar1,64.0,12,55.372724160522594,125,1.5306287510586885,1.4637820160062316,6,2.055061207340888,2.0709183480151063,0.5,2.0
single_timescale_ar1_64_13,single_timescale_ar1,64.0,13,58.63519362715608,125,1.5607442062128898,1.4938525009784727,5,2.0779453580347145,2.0854109633086537,0.5,2.0
single_timescale_ar1_128_00,single_timescale_ar1,128.0,0,142.5597132927286,125,1.5660101059845308,1.5213262492289106,0,,,0.5,2.0
single_timescale_ar1_128_01,single_timescale_ar1,128.0,1,88.91335324449597,125,1.5616775775287484,1.469819593587673,2,2.0351922788829357,2.0351922788829357,0.5,2.0
single_timescale_ar1_128_02,single_timescale_ar1,128.0,2,107.40270170165142,125,1.6397588402866976,1.615651647973763,1,2.4323695298048587,2.4323695298048587,0.5,2.0
single_timescale_ar1_128_03,single_timescale_ar1,128.0,3,106.79232435864164,125,1.5798889398018576,1.5236757060644155,1,2.1124413610631043,2.1124413610631043,0.5,2.0
single_timescale_ar1_128_04,single_timescale_ar1,128.0,4,127.9748153696325,125,1.5535552664070478,1.445476341926755,1,2.3427074338548466,2.3427074338548466,0.5,2.0
single_timescale_ar1_128_05,single_timescale_ar1,128.0,5,103.78479269694272,125,1.5854824303180532,1.5115426343295393,1,2.1444022818149016,2.1444022818149016,0.5,2.0
single_timescale_ar1_128_06,single_timescale_ar1,128.0,6,87.55035062468146,125,1.5588104395099656,1.491162433011462,2,2.2732285474393352,2.2732285474393352,0.5,2.0
single_timescale_ar1_128_07,single_timescale_ar1,128.0,7,120.94623097659864,125,1.5368712114251595,1.4063803019919576,1,2.077948067185416,2.077948067185416,0.5,2.0
single_timescale_ar1_128_08,single_timescale_ar1,128.0,8,82.21856813174809,125,1.550165091773725,1.4392593017939208,3,2.1640821641213175,2.1673276886036885,0.5,2.0
single_timescale_ar1_128_09,single_timescale_ar1,128.0,9,136.01639512198486,125,1.5474981374856984,1.4389563265947503,0,,,0.5,2.0
single_timescale_ar1_128_10,single_timescale_ar1,128.0,10,79.83892335176627,125,1.5700425606297674,1.5011420461795995,3,2.0885606191683466,2.0711526503010638,0.5,2.0
single_timescale_ar1_128_11,single_timescale_ar1,128.0,11,87.58799383086526,125,1.5458821412021726,1.4546867020769592,2,2.2497924333401373,2.2497924333401373,0.5,2.0
single_timescale_ar1_128_12,single_timescale_ar1,128.0,12,170.3251892614123,125,1.5223621648422918,1.4880603324414157,0,,,0.5,2.0
single_timescale_ar1_128_13,single_timescale_ar1,128.0,13,162.0383913234576,125,1.577310925931746,1.5145411785393,0,,,0.5,2.0
two_timescale_ar_mix_2_00,two_timescale_ar_mix,2.0,0,2.3185445216311336,125,0.8662023625894023,0.968205200460653,73,1.0008501700976749,0.9987691089891357,0.5,2.0
two_timescale_ar_mix_2_01,two_timescale_ar_mix,2.0,1,1.8590146541380952,125,0.8064348745977745,0.8692936348006995,60,0.907417272778187,0.9068958177368126,0.5,2.0
two_timescale_ar_mix_2_02,two_timescale_ar_mix,2.0,2,1.9461608751628594,125,0.8048542177776175,0.8882356298897294,63,0.921194754513904,0.9188186683612296,0.5,2.0
two_timescale_ar_mix_2_03,two_timescale_ar_mix,2.0,3,2.2187203898806738,125,0.7695703153994691,0.8480238718837894,71,0.8687698686199472,0.8705600175538067,0.5,2.0
two_timescale_ar_mix_2_04,two_timescale_ar_mix,2.0,4,1.7819256038899247,125,0.7768275915346755,0.8365318927634621,57,0.8385948105768385,0.8365318927634621,0.5,2.0
two_timescale_ar_mix_2_05,two_timescale_ar_mix,2.0,5,1.9769561066154913,125,0.7724634036399289,0.8626585079706065,64,0.888280260705439,0.8914728272371657,0.5,2.0
two_timescale_ar_mix_2_06,two_timescale_ar_mix,2.0,6,2.0062119519302986,125,0.7971783413889356,0.8786609868347055,65,0.9097614877767362,0.9121359036554718,0.5,2.0
two_timescale_ar_mix_2_07,two_timescale_ar_mix,2.0,7,2.0962668755641842,125,0.7742039611792452,0.8363173882899766,67,0.8569873385228088,0.8501947739815334,0.5,2.0
two_timescale_ar_mix_2_08,two_timescale_ar_mix,2.0,8,2.007725331174597,125,0.8320212383982363,0.9075279945738304,65,0.9592565629601291,0.9678710946811652,0.5,2.0
two_timescale_ar_mix_2_09,two_timescale_ar_mix,2.0,9,1.8401437567307,125,0.8049687835829368,0.8730764416687233,59,0.8960592909915612,0.8920966085746992,0.5,2.0
two_timescale_ar_mix_2_10,two_timescale_ar_mix,2.0,10,2.123949872430705,125,0.8004695859829677,0.8849136443314041,68,0.9007170438559173,0.9019916468622601,0.5,2.0
two_timescale_ar_mix_2_11,two_timescale_ar_mix,2.0,11,2.2671610056408795,125,0.8614952406144962,0.9263541067484224,72,1.0180457123029822,1.0383899550290832,0.5,2.0
two_timescale_ar_mix_2_12,two_timescale_ar_mix,2.0,12,2.34297189152204,125,0.7924579706635726,0.8511714803667081,74,0.8963698010311755,0.8903493230941054,0.5,2.0
two_timescale_ar_mix_2_13,two_timescale_ar_mix,2.0,13,2.8152677536053123,125,0.8116608864257527,0.9079408688783094,83,0.9198144939803623,0.9221394725259463,0.5,2.0
two_timescale_ar_mix_4_00,two_timescale_ar_mix,4.0,0,3.3899673273747264,125,0.7619039981306566,0.8349210802608662,91,0.839878327806625,0.8389879836153248,0.5,2.0
two_timescale_ar_mix_4_01,two_timescale_ar_mix,4.0,1,4.282321846466163,125,0.8723651143472848,0.9928983443482614,90,0.9687706404687629,1.0009109722924048,0.5,2.0
two_timescale_ar_mix_4_02,two_timescale_ar_mix,4.0,2,2.967593675749163,125,0.7556309033044303,0.8181358318004094,85,0.8291115660436943,0.8327551989499994,0.5,2.0
two_timescale_ar_mix_4_03,two_timescale_ar_mix,4.0,3,2.9676211891879047,125,0.8386050603730997,0.9187292596015145,85,0.9320841693167655,0.9301589178200516,0.5,2.0
two_timescale_ar_mix_4_04,two_timescale_ar_mix,4.0,4,3.5171142612179427,125,0.8099841215844381,0.8667004059240772,92,0.8918312994905193,0.9147152104692808,0.5,2.0
two_timescale_ar_mix_4_05,two_timescale_ar_mix,4.0,5,3.7541856009095924,125,0.8026059513386785,0.9013205275105427,94,0.9082762657430264,0.9173809470536329,0.5,2.0
two_timescale_ar_mix_4_06,two_timescale_ar_mix,4.0,6,4.19672306798439,125,0.8079896309369228,0.8915606878387355,91,0.8953915765392515,0.9093175672096706,0.5,2.0
two_timescale_ar_mix_4_07,two_timescale_ar_mix,4.0,7,4.467834777357041,125,0.7837963657358114,0.8679398743439088,86,0.8475321811239759,0.8739870843875022,0.5,2.0
two_timescale_ar_mix_4_08,two_timescale_ar_mix,4.0,8,4.151603104414854,125,0.764936212024847,0.8365559855125885,93,0.8413697790221257,0.8450545874813705,0.5,2.0
two_timescale_ar_mix_4_09,two_timescale_ar_mix,4.0,9,3.9718983400608487,125,0.793018524769132,0.8557398065105633,96,0.8700606743513979,0.898973896263321,0.5,2.0
two_timescale_ar_mix_4_10,two_timescale_ar_mix,4.0,10,2.8105883962789484,125,0.7898300332767195,0.8546731244928139,83,0.8726326360157515,0.8715191668812179,0.5,2.0
two_timescale_ar_mix_4_11,two_timescale_ar_mix,4.0,11,3.694852149102355,125,0.8049514627028854,0.8868702065020186,94,0.8905373868890305,0.9010148747006539,0.5,2.0
two_timescale_ar_mix_4_12,two_timescale_ar_mix,4.0,12,3.2443923535605137,125,0.7782692282816612,0.833624441265024,89,0.8455837855589992,0.838941666597302,0.5,2.0
two_timescale_ar_mix_4_13,two_timescale_ar_mix,4.0,13,3.6857641651734134,125,0.8267755418162366,0.9291063972228045,94,0.9326918598119668,0.9443900953925809,0.5,2.0
two_timescale_ar_mix_8_00,two_timescale_ar_mix,8.0,0,6.53674968570079,125,0.9391770151903309,1.018099511843798,59,0.9644150483872399,0.9933727757134938,0.5,2.0
two_timescale_ar_mix_8_01,two_timescale_ar_mix,8.0,1,7.9378710494291385,125,0.9303980059252616,1.009179782644411,48,0.9562737043528949,1.010748734600731,0.5,2.0
two_timescale_ar_mix_8_02,two_timescale_ar_mix,8.0,2,7.600617322998565,125,0.9248210660451345,1.0157796313129381,51,0.9652082662250229,1.0315581942759866,0.5,2.0
two_timescale_ar_mix_8_03,two_timescale_ar_mix,8.0,3,7.425712301708108,125,0.970660981319778,1.0672380021259453,51,0.9961234222387065,1.063246483307169,0.5,2.0
two_timescale_ar_mix_8_04,two_timescale_ar_mix,8.0,4,8.335321596874564,125,0.8910111544510259,0.9484046427302708,46,0.9131100974698437,0.9463845145982825,0.5,2.0
two_timescale_ar_mix_8_05,two_timescale_ar_mix,8.0,5,7.484640254946839,125,0.9318364128992529,1.0028935811809732,51,0.9248110447604991,0.9600537600229634,0.5,2.0
two_timescale_ar_mix_8_06,two_timescale_ar_mix,8.0,6,6.2141782871361055,125,0.9082876508420437,0.9756381268396972,62,1.0187195534186053,1.0270127141956804,0.5,2.0
two_timescale_ar_mix_8_07,two_timescale_ar_mix,8.0,7,7.3379916612330565,125,0.9631893320229549,1.0381938096529455,52,0.9871029021830592,1.0220980811691445,0.5,2.0
two_timescale_ar_mix_8_08,two_timescale_ar_mix,8.0,8,5.968832945118655,125,0.9218595600275331,1.0066382442466022,64,0.9999054705966104,1.0218965692128021,0.5,2.0
two_timescale_ar_mix_8_09,two_timescale_ar_mix,8.0,9,5.593840945687191,125,0.9465191447457256,1.021992455868763,69,1.0104940683917452,1.021992455868763,0.5,2.0
two_timescale_ar_mix_8_10,two_timescale_ar_mix,8.0,10,7.083998653147499,125,1.0027124299860342,1.1290298628629514,54,1.016573087313677,1.0814401307407704,0.5,2.0
two_timescale_ar_mix_8_11,two_timescale_ar_mix,8.0,11,5.693125986573188,125,0.9561024660886267,1.0559588375979239,67,1.037437952207026,1.0634822196343365,0.5,2.0
two_timescale_ar_mix_8_12,two_timescale_ar_mix,8.0,12,5.502120812851842,125,0.9661149877462102,1.0379902805742878,70,1.019509704541461,1.019927080084221,0.5,2.0
two_timescale_ar_mix_8_13,two_timescale_ar_mix,8.0,13,7.115831168106282,125,0.9307492669685261,1.0142183484525231,54,0.9659658755723987,1.0107854543413812,0.5,2.0
two_timescale_ar_mix_16_00,two_timescale_ar_mix,16.0,0,13.505494509411884,125,1.298455051873955,1.3466917723209098,28,1.2745964461607162,1.3847527635515342,0.5,2.0
two_timescale_ar_mix_16_01,two_timescale_ar_mix,16.0,1,12.381152582430005,125,1.2660301862448757,1.3066960348057304,31,1.324726483402946,1.3782460801723135,0.5,2.0
two_timescale_ar_mix_16_02,two_timescale_ar_mix,16.0,2,20.243200736070488,125,1.2251533735132818,1.2892248136999913,19,1.0252977844354705,1.0679408345066865,0.5,2.0
two_timescale_ar_mix_16_03,two_timescale_ar_mix,16.0,3,12.566761449045492,125,1.2708210721669255,1.3291292284245317,30,1.351833132903295,1.4557984815748304,0.5,2.0
two_timescale_ar_mix_16_04,two_timescale_ar_mix,16.0,4,15.058820656323975,125,1.2657553133886326,1.3084874660070775,26,1.2527799394801553,1.352211766650547,0.5,2.0
two_timescale_ar_mix_16_05,two_timescale_ar_mix,16.0,5,9.251343346981088,125,1.2654506914399637,1.3151975075077185,42,1.3191729830906407,1.350497723181645,0.5,2.0
two_timescale_ar_mix_16_06,two_timescale_ar_mix,16.0,6,18.034733011991975,125,1.2553610993061672,1.3204691622780202,21,1.17489415759143,1.2726335761747516,0.5,2.0
two_timescale_ar_mix_16_07,two_timescale_ar_mix,16.0,7,12.471058057901844,125,1.2944125782244822,1.33392698533707,31,1.3323919621114346,1.4456174328630367,0.5,2.0
two_timescale_ar_mix_16_08,two_timescale_ar_mix,16.0,8,21.152686090861547,125,1.2476860897069193,1.2959189851394946,18,1.0582054121282574,1.0817194883666108,0.5,2.0
two_timescale_ar_mix_16_09,two_timescale_ar_mix,16.0,9,9.081358280933166,125,1.2747061452415813,1.3356603306604087,42,1.3650740606568745,1.4040215745869924,0.5,2.0
two_timescale_ar_mix_16_10,two_timescale_ar_mix,16.0,10,11.322755496813352,125,1.2492959709308133,1.2968542143702237,34,1.3162423868844837,1.3992706445739493,0.5,2.0
two_timescale_ar_mix_16_11,two_timescale_ar_mix,16.0,11,13.902604937157268,125,1.2549837659416456,1.3054441090391278,27,1.2058733783548592,1.2688944397044621,0.5,2.0
two_timescale_ar_mix_16_12,two_timescale_ar_mix,16.0,12,13.454381484575208,125,1.2140574960840473,1.2465990234392879,29,1.2655668884452955,1.371371222031247,0.5,2.0
two_timescale_ar_mix_16_13,two_timescale_ar_mix,16.0,13,16.191154644602353,125,1.2373675043477297,1.2811178065835607,24,1.2158695252892575,1.3029179010921224,0.5,2.0
two_timescale_ar_mix_32_00,two_timescale_ar_mix,32.0,0,35.532915077865724,125,1.494309299476122,1.507771257275948,11,1.1288570880193143,1.205351333484534,0.5,2.0
two_timescale_ar_mix_32_01,two_timescale_ar_mix,32.0,1,34.84235578386509,125,1.4107561415899894,1.399749765398733,11,1.1439426831408646,1.2061362770759303,0.5,2.0
two_timescale_ar_mix_32_02,two_timescale_ar_mix,32.0,2,12.113206130235893,125,1.416469535741288,1.4206918140807654,32,1.6385390685174377,1.6783853640867994,0.5,2.0
two_timescale_ar_mix_32_03,two_timescale_ar_mix,32.0,3,31.103742602266728,125,1.439410438692854,1.4446070464396044,12,1.3383708784813362,1.4184373867695874,0.5,2.0
two_timescale_ar_mix_32_04,two_timescale_ar_mix,32.0,4,17.837297806266236,125,1.4313494726890237,1.4503345487791175,21,1.5296400394941099,1.5889720681767368,0.5,2.0
