raw_weighted_beta_variance,de_weighted_beta_variance,variance_reduction_fraction,raw_n_bins,de_n_bins,draw,n_gauges
0.30745513908980754,0.30554498589182794,0.0062127866967338205,24,19,179,150
0.2858307538964155,0.2392101231061386,0.16310571957268155,24,19,180,150
0.3874925942965576,0.36604582003297287,0.05534757200332704,24,19,181,150
0.3135103335218721,0.2856045380386542,0.08901076774641949,24,19,182,150
0.297496186981772,0.2400212849443315,0.19319542418525873,24,19,183,150
0.4586670438099159,0.3839789976939823,0.16283717595129063,24,21,184,150
0.5128853067194344,0.4871787579646722,0.05012143732326611,24,20,185,150
0.40669329724952213,0.3636588905765316,0.10581538216644677,24,20,186,150
0.32172033910868636,0.29744641834031615,0.07545037667068286,24,19,187,150
0.34594895836470957,0.34870149903546205,-0.007956493593053891,24,19,188,150
0.35479194484058363,0.342877078708011,0.033582685023827906,24,19,189,150
0.3992088120707623,0.3362234707098516,0.15777542843855402,24,21,190,150
0.3749774195688637,0.3389676565891074,0.09603181711890581,24,20,191,150
0.41082473621345345,0.38741810644642494,0.056974733271336064,24,21,192,150
0.38957356662206616,0.35165456418041297,0.09733463892440948,24,19,193,150
0.44987264193879667,0.4166462281951943,0.07385737794680716,24,19,194,150
0.36935847186776416,0.31222330809281085,0.15468756811244486,24,20,195,150
0.3129600443517293,0.27019203050598184,0.13665646659252573,24,20,196,150
0.36857397321820295,0.33695787753872913,0.08577951232806251,24,20,197,150
0.3271600964056173,0.28583606991181476,0.12631132875865295,24,20,198,150
0.43658709807021007,0.421044372405987,0.03560051529906532,24,19,199,150
0.3845261911273771,0.3353355630596304,0.12792529924561616,24,20,200,150
0.3366897430908514,0.2940291372770613,0.1267059858199443,24,20,201,150
0.4617691420969391,0.37653366731470944,0.18458460518857317,24,20,202,150
0.42559020099219297,0.35750215668050733,0.1599849906152671,24,20,203,150
0.4041013086044496,0.3923018523338992,0.029199252809399282,24,20,204,150
0.27140282636223173,0.2603645254940399,0.04067128193226486,24,20,205,150
0.3098581456808433,0.2588004542455366,0.1647776317873424,24,20,206,150
0.3996066698805678,0.32177229369224714,0.1947774700847295,24,20,207,150
0.42082541584447486,0.37646180341523056,0.10542046834367018,24,19,208,150
0.4297901995540787,0.4202714193347742,0.022147504129178763,24,19,209,150
0.3630451067626523,0.36988853937218047,-0.01885008909926505,24,21,210,150
0.4452407287325122,0.38729882342437416,0.13013612989333656,24,20,211,150
0.28277350956520353,0.23863785324987088,0.15608129765477763,24,19,212,150
0.4476029356061857,0.3948439662761267,0.11787002526828348,24,19,213,150
0.3783951834489646,0.31498528737688664,0.1675758541483398,24,19,214,150
0.4112596313282629,0.32533784712906083,0.20892345772352314,24,20,215,150
0.4093362579383419,0.33846399272196875,0.17313947602229898,24,18,216,150
0.3730881014984808,0.3382914821447866,0.09326649446588128,24,20,217,150
0.4265749597901355,0.4334055635103617,-0.01601266920024254,24,19,218,150
0.3264351291995841,0.31023780124094524,0.04961882625302789,24,19,219,150
0.3837187235578334,0.31394338799237786,0.18183979900302963,24,19,220,150
0.28344891771892894,0.25028660264762015,0.11699573714440112,24,20,221,150
0.31694369730510846,0.3065783812438803,0.03270396650686475,24,21,222,150
0.4239096574440108,0.39369110802723295,0.07128535263617834,24,20,223,150
0.3321241198340125,0.28304097543673906,0.14778554602358904,24,20,224,150
0.3799434130503306,0.30269669763029206,0.20331110572459316,24,19,225,150
0.37037740999157154,0.30699827117915474,0.17112042231155264,24,20,226,150
0.3695673689998955,0.29370654073112873,0.20526928141425882,24,21,227,150
0.2931696648067739,0.32419186213190915,-0.10581653236729571,24,19,228,150
0.35530837502051354,0.35748683362738715,-0.006131177197125818,24,20,229,150
0.3097805291102826,0.2560066787084106,0.17358692799807432,24,19,230,150
0.3754784779497712,0.355121100845563,0.054217161035076615,24,20,231,150
0.2878134591917338,0.2535502571076229,0.1190465594636616,24,20,232,150
0.37451529814146095,0.33743597181201934,0.09900617281443094,24,19,233,150
0.31414157491711225,0.32892078150628057,-0.04704632487141468,24,20,234,150
0.3360775542471123,0.34297843831617875,-0.020533605954512407,24,20,235,150
0.3799112233090724,0.3430335328782714,0.09706923135776803,24,19,236,150
0.3064161304016446,0.273701086250722,0.10676671658257794,24,18,237,150
0.26434700590946886,0.23408317019139208,0.11448526006169808,24,20,238,150
0.34892701309392415,0.3471072086801627,0.005215430005333508,24,20,239,150
0.3900400360916496,0.3340729119975336,0.14349071611962716,24,20,240,150
0.3565697247783396,0.33656980394283437,0.05608978958586041,24,20,241,150
0.339559486548303,0.34531599464366597,-0.016952870773481142,24,19,242,150
0.39508325240910164,0.3574888664366554,0.09515560516222016,24,20,243,150
0.3809001818955698,0.3769319136080031,0.010418131773574887,24,19,244,150
0.2890153946130071,0.24404637286112976,0.15559386312999374,24,18,245,150
0.2591788456737846,0.2165581663399707,0.16444505423663475,24,19,246,150
0.36487020229560485,0.35309249983055757,0.03227915678218471,24,20,247,150
0.3382014627812356,0.28130254918832137,0.168239702823873,24,20,248,150
0.363485767151613,0.2940115193401055,0.19113333750569997,24,20,249,150
0.33100768225554256,0.29624634433512287,0.10501671043871257,24,20,250,150
0.3208142499252493,0.28479629854047855,0.11227042250511957,24,20,251,150
0.34640420702387803,0.29511927003582394,0.14804940571786693,24,20,252,150
0.28003754611342024,0.30410384113177474,-0.08593952972508628,24,19,253,150
0.3508819902905919,0.3376964005558687,0.03757841695951177,24,20,254,150
0.3644737140924928,0.3320945414277397,0.08883815598437425,24,18,255,150
0.3047594835834931,0.28417358986267227,0.0675480004059694,24,19,256,150
0.3904273465841095,0.3161033243523385,0.19036582063741123,24,20,257,150
0.3760602748314352,0.3045124959064875,0.19025614698871934,24,19,258,150
0.42962802338128087,0.3494523884385485,0.18661639972115862,24,21,259,150
0.3614872205333994,0.34047075654675624,0.05813888511918041,24,19,260,150
0.32255145988807754,0.2631441127063909,0.18417943977776594,24,19,261,150
0.32975388248058424,0.28543364753980155,0.1344039821681015,24,20,262,150
0.35353870926807596,0.28264949841832204,0.2005132931455071,24,20,263,150
0.3836179969353329,0.3749826969366239,0.022510153506079267,24,21,264,150
0.3288310633339707,0.26932344440110495,0.18096714565079894,24,20,265,150
0.37384737050897165,0.33449338638876414,0.10526751617011332,24,20,266,150
0.3658827158355589,0.3027403987317432,0.17257529358723303,24,20,267,150
0.3532444194777473,0.30519308081918933,0.13602858533363182,24,20,268,150
0.36995806634218437,0.32000328114615845,0.135028236280761,24,19,269,150
0.449856225372061,0.42683019563492697,0.05118530863519776,24,21,270,150
0.3250841338290187,0.2808288364132504,0.13613490420004565,24,20,271,150
0.39508611078200223,0.34781961653575166,0.11963592988043797,24,20,272,150
0.3107816553954605,0.2700523707893767,0.13105433959497048,24,20,273,150
0.35986095646402416,0.31986049996713367,0.11115531090100184,24,20,274,150
0.31555151873986903,0.2724311351368009,0.13665085110433348,24,19,275,150
0.3821730870386275,0.3297412126357951,0.13719405206974442,24,19,276,150
0.31957708836495485,0.24214893683397673,0.2422831747016723,24,19,277,150
0.26543275746140155,0.22708765448286847,0.14446258760699163,24,20,278,150
0.33791349318725833,0.3074959044099578,0.09001590463404291,24,20,279,150
0.42510432292725686,0.36787847490540326,0.13461601055429867,24,19,280,150
0.3012659832658004,0.2810979105312647,0.06694440744988404,24,19,281,150
0.3176101643003992,0.2872037329747257,0.09573507004301904,24,21,282,150
0.42002780973361004,0.36917821970914333,0.12106243645323514,24,20,283,150
0.2638612030661891,0.23460901771035292,0.11086201766653175,24,20,284,150
0.3328326846700624,0.28334912640465865,0.14867397507686744,24,19,285,150
0.37280240105658735,0.3191126604322977,0.14401661703927746,24,19,286,150
0.3364471057774216,0.3069488945482712,0.08767562782562653,24,19,287,150
0.38465984875128173,0.34880969476084084,0.0931996258689878,24,20,288,150
0.3135547071704058,0.303234004059742,0.03291515921990246,24,20,289,150
0.3726116226989547,0.34438979154407173,0.07574060881531955,24,19,290,150
0.4127797271090685,0.40445154861157295,0.02017584186079714,24,19,291,150
0.30281034206551,0.25709669653715245,0.15096461110455686,24,20,292,150
0.3173339069527859,0.30773052541027307,0.030262702258103357,24,20,293,150
0.3996062621368457,0.38534590047724643,0.035686031503469745,24,20,294,150
0.28111466101401333,0.262788638472921,0.0651905612997495,24,20,295,150
0.40244267355022645,0.38035107854039374,0.05489376863280278,24,19,296,150
0.3232542575369817,0.30334825454777026,0.061580017973728106,24,20,297,150
0.3071947353724245,0.2701835759867643,0.120481099198494,24,20,298,150
0.35888052702736106,0.30515992397751934,0.14968937850937244,24,20,299,150
