gauge_id,n_models,best_nse_model,best_nse_eval_nse,tau_err_nse,best_beta_de_model,dist_beta_de_best,disagree_beta_de,tau_err_beta_de_best,delta_tau_err_beta_de,best_beta_raw_model,dist_beta_raw_best,disagree_beta_raw,tau_err_beta_raw_best,delta_tau_err_beta_raw,best_de_const_model,dist_de_const_best,disagree_de_const,tau_err_de_const_best,delta_tau_err_de_const,best_de_shuff_model,dist_de_shuff_best,disagree_de_shuff,tau_err_de_shuff_best,delta_tau_err_de_shuff,best_scalar_model,dist_scalar_best,disagree_scalar,tau_err_scalar_best,delta_tau_err_scalar
14005,4,global_lstm,0.5414820416639745,0.404139448184442,seasonal_ar1_null,0.4696095992515392,True,0.1384577008927951,-0.26568174729164684,rrmpg_gr4j,0.1357741420967478,True,1.1852828453814988,0.7811433971970567,rrmpg_gr4j,0.13577414209674787,True,1.1852828453814988,0.7811433971970567,rrmpg_hbvedu,0.10809640477429383,True,0.7852632474411214,0.38112379925667944,,,,,
15006,5,rrmpg_hbvedu,0.5573588516712464,0.976104895854083,seasonal_ar1_null,0.1656224649688645,True,0.0039345833398692,-0.9721703125142138,seasonal_ar1_null,0.1616963586298148,True,0.0039345833398692,-0.9721703125142138,seasonal_ar1_null,0.16967592282635713,True,0.0039345833398692,-0.9721703125142138,seasonal_ar1_null,0.0806564101586762,True,0.0039345833398692,-0.9721703125142138,,,,,
15007,5,rrmpg_hbvedu,0.5726164329738825,0.9799479568049,seasonal_ar1_null,0.1003580875751505,True,0.0048863089717796,-0.9750616478331204,seasonal_ar1_null,0.0974700139439966,True,0.0048863089717796,-0.9750616478331204,seasonal_ar1_null,0.09747001394399668,True,0.0048863089717796,-0.9750616478331204,seasonal_ar1_null,0.3566336041763598,True,0.0048863089717796,-0.9750616478331204,,,,,
15010,5,global_lstm,0.6036365689458956,0.9461609412145456,rrmpg_hbvedu,0.1373836212414884,True,1.1140241092894514,0.16786316807490576,seasonal_ar1_null,0.4114187263439637,True,0.227920042933667,-0.7182408982808787,seasonal_ar1_null,0.4114187263439638,True,0.227920042933667,-0.7182408982808787,seasonal_ar1_null,0.25971027946802194,True,0.227920042933667,-0.7182408982808787,,,,,
15011,4,rrmpg_hbvedu,0.3278497337862416,1.266792705453229,global_lstm,0.0887847854989336,True,1.0553577305538364,-0.21143497489939267,seasonal_ar1_null,0.4757963323946313,True,0.1726621281961493,-1.0941305772570797,seasonal_ar1_null,0.4757963323946313,True,0.1726621281961493,-1.0941305772570797,seasonal_ar1_null,0.4316282102984372,True,0.1726621281961493,-1.0941305772570797,rrmpg_gr4j,0.020727486317537847,True,1.3354412285763204,0.06864852312309133
15012,4,rrmpg_gr4j,0.5441843629249654,0.7278330738723662,rrmpg_gr4j,0.0921430397116709,False,0.7278330738723662,0.0,seasonal_ar1_null,0.1659233900012267,True,0.1421178218193024,-0.5857152520530637,seasonal_ar1_null,0.1659233900012268,True,0.1421178218193024,-0.5857152520530637,rrmpg_gr4j,0.12912356344210307,False,0.7278330738723662,0.0,seasonal_ar1_null,0.15082264848865323,True,0.1421178218193024,-0.5857152520530637
15013,4,global_lstm,0.590167448223041,0.9969430520154838,rrmpg_hbvedu,0.1336951650371543,True,1.137588551535293,0.1406454995198092,seasonal_ar1_null,0.6844971682331804,True,0.0993112670066823,-0.8976317850088016,seasonal_ar1_null,0.6878141607689604,True,0.0993112670066823,-0.8976317850088016,seasonal_ar1_null,0.4999588340558859,True,0.0993112670066823,-0.8976317850088016,global_lstm,0.0014382325651514094,False,0.9969430520154838,0.0
15014,4,global_lstm,0.3742469455945345,1.2998759041862953,rrmpg_gr4j,0.2369839829102138,True,1.500404182582373,0.20052827839607779,seasonal_ar1_null,0.6016667462173649,True,0.1713201351992843,-1.128555768987011,seasonal_ar1_null,0.6016667462173648,True,0.1713201351992843,-1.128555768987011,seasonal_ar1_null,0.6867123669718112,True,0.1713201351992843,-1.128555768987011,,,,,
15016,4,rrmpg_gr4j,0.5437571693137262,0.9408975389708092,seasonal_ar1_null,1.320143793357222,True,0.7763389128148235,-0.1645586261559857,rrmpg_hbvedu,0.0821449634948812,True,1.0276439744982966,0.0867464355274874,rrmpg_hbvedu,0.08214496349488143,True,1.0276439744982966,0.0867464355274874,rrmpg_gr4j,0.07757540406113295,False,0.9408975389708092,0.0,,,,,
15021,4,rrmpg_gr4j,0.5570569132002494,0.6283931025470814,rrmpg_hbvedu,0.2499091411204634,True,0.5881485130575358,-0.04024458948954557,global_lstm,0.0581507217842767,True,0.3852558074433224,-0.24313729510375898,global_lstm,0.06256705314339595,True,0.3852558074433224,-0.24313729510375898,rrmpg_hbvedu,0.46708964726162394,True,0.5881485130575358,-0.04024458948954557,seasonal_ar1_null,0.023472669081624487,True,0.7778224532432707,0.14942935069618934
15023,5,global_lstm,0.5264235634460769,1.028792286148705,rrmpg_gr4j,0.159001348561407,True,1.3583984845874584,0.3296061984387533,seasonal_ar1_null,0.304749822055853,True,0.1406401723399987,-0.8881521138087064,seasonal_ar1_null,0.304749822055853,True,0.1406401723399987,-0.8881521138087064,seasonal_climatology,0.18492292640578584,True,1.1054046461698563,0.07661236002115124,,,,,
15024,4,global_lstm,0.5412702535615653,1.3071493035824306,seasonal_ar1_null,0.3152662036976559,True,0.1018478500058375,-1.2053014535765931,seasonal_ar1_null,0.3362983679074797,True,0.1018478500058375,-1.2053014535765931,seasonal_ar1_null,0.3362983679074797,True,0.1018478500058375,-1.2053014535765931,,,,,,seasonal_ar1_null,0.040440779986392394,True,0.1018478500058375,-1.2053014535765931
15025,5,global_lstm,0.4825466901349509,1.1352728318657883,rrmpg_gr4j,0.0685132324357405,True,1.4107931007870298,0.2755202689212415,seasonal_ar1_null,0.5082145107872872,True,0.1017726011709425,-1.0335002306948458,seasonal_ar1_null,0.5082145107872872,True,0.1017726011709425,-1.0335002306948458,global_lstm,0.4896274490620974,False,1.1352728318657883,0.0,,,,,
15030,5,rrmpg_hbvedu,0.5763270922267778,0.9320392389071857,seasonal_climatology,0.0901579687514012,True,1.2991499972860232,0.36711075837883755,global_lstm,0.2871319099616753,True,0.7949012793021891,-0.13713795960499653,global_lstm,0.28713190996167537,True,0.7949012793021891,-0.13713795960499653,seasonal_ar1_null,0.30636311125640625,True,0.0302616554337995,-0.9017775834733861,,,,,
16001,4,global_lstm,0.5315671324729339,0.7998983911235438,global_lstm,0.1873827246896107,False,0.7998983911235438,0.0,seasonal_ar1_null,0.4724875531064767,True,0.2739200800910456,-0.5259783110324981,seasonal_ar1_null,0.4724875531064767,True,0.2739200800910456,-0.5259783110324981,seasonal_ar1_null,0.33696127674809484,True,0.2739200800910456,-0.5259783110324981,,,,,
16004,5,rrmpg_gr4j,0.5316057620092296,0.8236139507149146,global_lstm,0.2184580472832114,True,0.7799285557533339,-0.04368539496158075,seasonal_ar1_null,0.3613813249890139,True,0.1850915508746284,-0.6385223998402862,seasonal_ar1_null,0.3613813249890139,True,0.1850915508746284,-0.6385223998402862,seasonal_ar1_null,0.2513933783459841,True,0.1850915508746284,-0.6385223998402862,seasonal_ar1_null,0.3593025139324528,True,0.1850915508746284,-0.6385223998402862
17001,4,global_lstm,0.5384194498698469,1.193409711792947,seasonal_ar1_null,0.3342527643027912,True,0.1102084176966858,-1.0832012940962612,seasonal_ar1_null,0.3719319920160467,True,0.1102084176966858,-1.0832012940962612,seasonal_ar1_null,0.37193199201604676,True,0.1102084176966858,-1.0832012940962612,global_lstm,0.07672504350773734,False,1.193409711792947,0.0,,,,,
17003,5,global_lstm,0.5292939456901213,1.2436495193984087,seasonal_climatology,0.072883387002904,True,0.8166183221372733,-0.4270311972611355,seasonal_climatology,0.3814252671577758,True,0.8166183221372733,-0.4270311972611355,seasonal_climatology,0.3814252671577758,True,0.8166183221372733,-0.4270311972611355,seasonal_climatology,0.07759255524460612,True,0.8166183221372733,-0.4270311972611355,global_lstm,0.32090076154904246,False,1.2436495193984087,0.0
