gauge_id,raw_residual_sq,raw_median_abs_residual,raw_n_bins,de_residual_sq,de_median_abs_residual,de_n_bins,ar1_residual_de_reduction,tau_acf_days,archive
52010,0.07266466671979989,0.27067667200770157,24,0.09762328290123909,0.23908192169254117,16,-0.34347664839200864,10.58496435367242,CAMELS-GB
52011,0.4712251138458264,0.43966545796634243,24,0.4357970292067847,0.18035597406207432,16,0.07518292976768826,12.443424729158432,CAMELS-GB
52015,0.09316150776144788,0.27077294789424167,24,0.4190890976137069,0.529582513947348,17,-3.498522057917298,26.06793599101178,CAMELS-GB
52016,0.050153414590683405,0.19812396868428211,24,0.22060588770649298,0.3389884099976836,17,-3.398621499790627,27.32636310710049,CAMELS-GB
53005,0.03432681244242261,0.14637745701253582,24,0.11381783012882053,0.1785725822913161,16,-2.3157121803759257,16.09664064741695,CAMELS-GB
53006,0.07052385828324782,0.26266039016174597,24,0.3395324963268679,0.3342931880135918,13,-3.814434499076749,6.24703455397,CAMELS-GB
53007,0.053646894553252174,0.21993582848164084,24,0.10128319720150578,0.14718078803973608,16,-0.8879601148388523,12.15987785652123,CAMELS-GB
53008,0.005676925744624329,0.0619064446123052,24,0.16472787620406115,0.29551000156530016,17,-28.017091928681204,17.91084021224468,CAMELS-GB
53009,0.07009758221707493,0.18362230411574065,24,0.07153247509236724,0.23437394924973506,16,-0.020469933910827187,15.958098203225903,CAMELS-GB
53013,0.10949093400957642,0.2549700730494259,24,0.34342578698534976,0.4628530983387319,17,-2.136568247333726,21.21000623188872,CAMELS-GB
53017,0.0569009525696384,0.21952567044554885,24,0.06118118092366663,0.20053362878044367,15,-0.07522243759961422,10.260355928298956,CAMELS-GB
53018,0.3372621349143253,0.39027625932655535,24,0.32458768200212873,0.13097656472950822,16,0.0375804206879502,19.150615298077533,CAMELS-GB
53022,0.4415746942739434,0.39018102683002576,24,0.6185888288490066,0.11935975023791379,17,-0.4008701967537285,16.630604604601075,CAMELS-GB
53023,0.6110841675676671,0.7085928812213041,24,0.3329191739410559,0.5091238899970312,16,0.4551991499531187,20.349585992757387,CAMELS-GB
53028,1.8296897597000956,1.4691934293967233,24,1.1904557062095307,0.9194385034521928,17,0.3493674542920008,22.0446430272682,CAMELS-GB
54001,1.5482333525941858,1.2905003544786293,24,1.3769582730653784,0.8271875340107007,17,0.1106261399431957,13.827429633634658,CAMELS-GB
54002,1.0518983504858932,0.7575065361635369,24,1.0635994315368944,0.3760032250765242,17,-0.011123775453774742,16.85278144356593,CAMELS-GB
54003,0.028421601677988715,0.13401800209834938,24,0.12580712729834376,0.05045492543695984,15,-3.4264615598977963,8.73828088412865,CAMELS-GB
54004,0.14593483888186368,0.38022600042281285,24,0.28442586754779076,0.22185704590810953,16,-0.9489922332941865,11.054650023025394,CAMELS-GB
54005,0.824890450135935,0.9293692045665908,24,1.078407669134523,0.8382783597263499,14,-0.30733440901978026,8.262639876862039,CAMELS-GB
54007,0.1568940951299106,0.3850003977052239,24,0.16132090162535626,0.37576232452177083,15,-0.028215252408194225,10.059415111155753,CAMELS-GB
54008,0.2936521036989637,0.43314574180897425,24,0.29669995381636505,0.22986363697643317,16,-0.010379118960870182,14.969425836183994,CAMELS-GB
54011,0.1453915853234846,0.23321170522098822,24,0.21737280883394833,0.4180590636731213,16,-0.4950852097135561,15.031958268868804,CAMELS-GB
54012,0.9521490282307875,0.6942352172440024,24,1.1935092517070491,0.18982564505153393,17,-0.25348996461692486,25.94130969818381,CAMELS-GB
54015,0.1522182066010856,0.3633533214931901,24,0.23590484119703012,0.340643188803537,14,-0.5497807158854524,8.086909017979387,CAMELS-GB
54016,1.006982585354759,0.7855919287198393,24,1.1614364962363215,0.15865641628459942,17,-0.153382901678631,25.956796473530545,CAMELS-GB
54017,0.16766695473954119,0.35592448018472406,24,0.297867813748703,0.16589521897543913,17,-0.7765445445789823,13.713154869774169,CAMELS-GB
54018,0.05611159729834366,0.25708394166897125,24,0.11069030246960282,0.056832642417503354,16,-0.9726813671167804,11.67142551331011,CAMELS-GB
54019,0.5105761264314375,0.5041302802187494,24,0.490544005002183,0.22760216204118353,16,0.03923434800852266,15.126000435308454,CAMELS-GB
54020,0.4242855155852882,0.5810537740811853,24,0.5172888730696383,0.19881269071329954,17,-0.21919993510986346,27.342095687025804,CAMELS-GB
54022,0.18034646294108,0.29183864132025217,24,0.2873472328875038,0.22388826575111442,9,-0.5933067286236793,2.66692148490762,CAMELS-GB
