series_id,scenario_group,target_tau_days,replicate,tau_acf_days,frequency,frequency_cpd,de,beta
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.1249276620370377e-06,0.18359375000000006,0.3583830549362728,1.261259130801392
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.170138888888889e-06,0.1875,0.36600822631789554,1.2708255243192457
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.21535011574074e-06,0.19140624999999994,0.3736333976995182,1.2708255243192457
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.2605613425925903e-06,0.1953124999999998,0.3812585690811408,1.2708255243192457
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.3057725694444445e-06,0.19921875,0.38888374046276397,1.2751385033618905
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.350983796296296e-06,0.20312499999999997,0.39650891184438675,1.2751385033618905
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.3961950231481468e-06,0.2070312499999999,0.4041340832260094,1.2751385033618905
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.441406250000001e-06,0.21093750000000008,0.41175925460763263,1.2711758954861365
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.486617476851851e-06,0.21484374999999994,0.4193844259892552,1.2711758954861365
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.531828703703703e-06,0.21874999999999994,0.427009597370878,1.2711758954861365
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.577039930555554e-06,0.22265624999999986,0.4346347687525007,1.2702306185300365
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.622251157407408e-06,0.22656250000000006,0.44225994013412384,1.2702306185300365
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.66746238425926e-06,0.23046875000000006,0.4498851115157467,1.2702306185300365
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.7126736111111104e-06,0.23437499999999994,0.4575102828973693,1.2670439041343344
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.7578848379629615e-06,0.2382812499999999,0.465135454278992,1.2670439041343344
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.8030960648148156e-06,0.24218750000000008,0.47276062566061516,1.2670439041343344
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.8483072916666672e-06,0.24609375000000006,0.48038579704223794,1.2675004362001148
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.8935185185185184e-06,0.25,0.48801096842386066,1.2675004362001148
single_timescale_ar1_2_00,single_timescale_ar1,2.0,0,1.9520438736954429,2.9387297453703687e-06,0.25390624999999983,0.4956361398054832,1.262706256213315
